Personaje [id=1, nombre=Mario, juego=Donkey Kong, company=Nintendo, ano=1981]
Personaje [id=2, nombre=Link, juego=The Legend of Zelda, company=Nintendo, ano=1986]
Personaje [id=14, nombre=Samus Aran, juego=Metroid, company=Nintendo, ano=1986]
Personaje [id=18, nombre=Kirby, juego=Kirbys Dream Land, company=Nintendo, ano=1992]
Personaje [id=20, nombre=Pikachu, juego=Pokemon Red/Green, company=Nintendo, ano=1996]
Personaje [id=21, nombre=Yoshi, juego=Super Mario World, company=Nintendo, ano=1990]
Personaje [id=31, nombre=Zelda, juego=The Legend of Zelda, company=Nintendo, ano=1986]
Personaje [id=33, nombre=Donkey Kong, juego=Donkey Kong, company=Nintendo, ano=1981]
Personaje [id=37, nombre=Ash Ketchum, juego=Pokemon Red/Green, company=Nintendo, ano=1996]
Personaje [id=44, nombre=Princess Peach, juego=Super Mario Bros, company=Nintendo, ano=1985]
Personaje [id=47, nombre=Bowser, juego=Super Mario Bros, company=Nintendo, ano=1985]
